Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Contratos o cartas firmados por el cliente (Documentos del clientes para contrato),Jurídico F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Seguimiento de contrato
Analítica de Pagos,Contraloría F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Adiciones / Modificaciones
Seguimiento de contrato,Dirección Sr Comercial F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Cobranza
Adiciones / Modificaciones,Dirección Sr Comercial F1,Dura 68 días,2/22/23,4/30/23,10/27/24,613,Recorrido de pista
Cobranza,"Gerencia de Exp al cliente, Hospitalidades y Sustentabilidad",Dura 68 días,2/22/23,4/30/23,10/27/24,613,Ceremonia de apertura
Presentación Agencias,Dirección Comercial F1,Dura 2 días,27/02/2023,2/28/23,10/27/24,608,
Presentación LANDYARD SUITES,Dirección Comercial F1,Dura 1 días,07/03/2023,3/7/23,10/27/24,600,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Ajustes generales LANDYARD SUITES,Dirección Comercial F1,Dura 8 días,07/03/2023,3/14/23,10/27/24,600,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios",Dirección Comercial F1,Dura 141 días,14/03/2023,8/1/23,10/27/24,593,
"Propuesta de render del back, copete y faldón del módulo de pre carga",Dirección Comercial F1,Dura 145 días,14/03/2023,8/5/23,10/27/24,593,
Presentación de opciones,Dirección Comercial F1,Dura 1 días,14/03/2023,3/14/23,10/27/24,593,
Aprobación de propuesta LANDYARD SUITES,Dirección Comercial F1,Dura 1 días,14/03/2023,3/14/23,10/27/24,593,
Vasos Aluminio Promocionales,Coordinación Experiencia al Cliente,Dura 62 días,15/03/2023,5/15/23,10/27/24,592,
Ajustes generales,Dirección Comercial F1,Dura 7 días,15/03/2023,3/21/23,10/27/24,592,Entrega de materiales para campaña precarga
Elección de propuesta por parte de CITIBANAMEX,Dirección Comercial F1,Dura 77 días,15/03/2023,5/30/23,10/27/24,592,Entrega de materiales para campaña precarga/Inicio de la campaña de pre carga
Ajustes generales,Dirección Comercial F1,Dura 7 días,15/03/2023,3/21/23,10/27/24,592,
Elección de propuesta por parte de CITIBANAMEX,Dirección Comercial F1,Dura 77 días,15/03/2023,5/30/23,10/27/24,592,
Propuesta de entretenimiento lista,Dirección Comercial F1,Dura 1 días,15/03/2023,3/15/23,10/27/24,592,
Negociación con compras,Dirección Comercial F1,Dura 2 días,18/03/2023,3/19/23,10/27/24,589,
Ajustes finales propuestas,Dirección Comercial F1,Dura 3 días,20/03/2023,3/22/23,10/27/24,587,
Propuestas agencias,Dirección Comercial F1,Dura 1 días,25/03/2023,3/25/23,10/27/24,582,
Presentación LANDYARD CASHLESS,Dirección Comercial F1,Dura 1 días,28/03/2023,3/28/23,10/27/24,579,
Presentación LANDYARD GRADA 3,Dirección Comercial F1,Dura 29 días,28/03/2023,4/25/23,10/27/24,579,
Ajustes generales LANDYARD GRADA 3,Dirección Comercial F1,Dura 1 días,28/03/2023,3/28/23,10/27/24,579,
Ajustes generales LANDYARD CASHLESS,Dirección Comercial F1,Dura 29 días,28/03/2023,4/25/23,10/27/24,579,
Presentación Entretenimiento lista,Dirección Comercial F1,Dura 1 días,29/03/2023,3/29/23,10/27/24,578,
Inicio de ajustes y mejoras en plataforma,Coordinación Experiencia al Cliente,Dura 26 días,01/04/2023,4/26/23,10/27/24,575,
"Levantamiento de necesidades. (Roles, cantidad, etc.)",Coordinación Experiencia al Cliente,Dura 47 días,01/04/2023,5/17/23,10/27/24,575,Presentación entretenimiento lista
Cotización de sobres para boletos RP impresos,Coordinación de Compras F1,Dura 11 días,02/04/2023,4/12/23,10/27/24,574,
"Primera entrega de propuesta general activación grada 3- (Incluir renders de giveaways por día y cuáles, uniformes, gráficos, etc.)",Dirección Comercial F1,Dura 1 días,04/04/2023,4/4/23,10/27/24,572,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Visualización y propuesta de punto de entrega de kits.,Dirección Comercial F1,Dura 1 días,04/04/2023,4/4/23,10/27/24,572,
"Mantenimiento a infraestructura Pit Lane Paddock, Pista",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Acceso al inmueble
Registro de personal,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Apertura de la plataforma
Trámite migración,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Trámite aduanal internación de maquinaria y equipo,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Gestión Administrativa con gobierno local (acceso, representación, movilidad, tránsito)",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Montaje de escuderías,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Trámite de migración
Montaje de cocina DO & CO,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Trámite de internamiento de maquinaria y equipo
Montaje telecom,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571, 
Montaje de hospital,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Trámite de internamiento de maquinaria y equipo
Montaje,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Internamiento
Requerimientos OMDAI y FIA,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Acceso al inmueble
Recorrido de pista,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Acceso al inmueble
Implementación,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Proveeduría
Atención de observaciones,Dirección General de CIE Internacional y F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Producción
Informe OMDAI/FIA,Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Producción
Registro en sistema (plataformas),Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Análisis de requisitos, branding, imagen",Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Master Plan v1.0
"Render, muestra, mobiliario propuesto",Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Master Plan v2.0
Producción,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Master Plan v3.0
Servicios,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Master Plan as built
Validación,Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Entrega (Check List)
Master Plan V1,Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Dirección Operaciones F1
Master Plan V2,Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Producción Minuto a Minuto
Master Plan V3,Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Selección de Audiencia
Master Plan V4,Dirección OperacionesF1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Media Kit
Entrega (Check List),Gerente de Producción F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Operación
Producción Minuto a Minuto,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Asignación de espacios de trabajo
Selección de Audiencia,Dirección de Mercadotecnia ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Acuerdo de proveedores de equipo de imagen (reparación y préstamo de cámaras y lentes)
Media Kit,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Planeación
Operación,Dirección de Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Determinación de audiencia meta
Programa de shuttle,Dirección de Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Asignación de espacios de trabajo,Dirección de Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Acuerdo de proveedores de equipo de imagen (reparación y préstamo de cámaras y lentes),Coordinación de Compras F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Definición de Objetivos
Planeación,Dirección de Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Definición de imagen (Look & feel)
Determinación de audiencia meta,Dirección de Mercadotecnia ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Monitoreo,Dirección de Mercadotecnia ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Evaluación,Dirección de Mercadotecnia ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Media KIt
Definición de objetivo,Creativo F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Definición de imagen (Look & feel),Creativo F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Aprobación 
"Planeación de trabajo con medios (entrevistas, colaboraciones, influencers, conferencias)",Coordinación Media Center F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Definición de Espacios y tamaño de montaje
Promoción con medios (boletines de prensa),Coordinación Media Center F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Adhesión a imagen del cliente
Media Kit,Dirección de Mercadotecnia ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Amenities
Campañas de redes sociales,Gerencia Redes Sociales F1 ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Producción
Definición de look & feel,Dirección de Mercadotecnia ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Definición de Espacios y tamaño de montaje
Definición de Espacios y tamaño de montaje,Dirección de Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Adhesión a imagen del cliente,Creativo F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Definición de look & feel
Producción,Dirección de Mercadotecnia ,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Protocolo de apertura
Validación,Dirección de Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Atención al cliente del Gran Premio de la CDMX
Fuentes de ingresos (productos),Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Fiscalización y estado de resultados
Planeación de ingresos,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Estado de resultados/ Informes financieros
Escenarios financieros,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Informes Financieros
Presupuesto de ingresos,Dirección Planeación Financiera,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Rentabilidades
Control presupuestal,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Fuentes de egresos,Dirección Planeación Financiera,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Planeación de Egresos,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Asignación cargos y Abonos/Contabilización de Egresos
Escenarios financieros,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Presupuesto de Egresos,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Contabilización de Egresos/
Presupuesto de Ingresos,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Escenarios financieros
Estado de resultados,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Informes Financieros,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Fuentes de egresos
Rentabilidades,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Fuentes de ingresos (productos)
Ajustes de asientos contables,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Contabilización de Ingresos,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Fiscalización
Contabilización de Egresos,Gerencia Planeación Financiera F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,Fiscalización
Asignación cargos y Abonos,Contraloría F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Fiscalización,Contraloría F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Scouting en autódromo Hermanos Rodriguez,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Revisión y pruebas de Look & Feel,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Entrega de últimos detalles de mood board,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Brief para Agencias que realizarán un all In a Terrza A, Speed Lounge Amarillo y Speed Lounge 8A",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Entrega de Master Graphic,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Sombra para MGS, CMB, PPB",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Brief Hospitalidades Live Events y MKP,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Aplicación de Moodboard a materiales y mobiliario,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Definición de espacio de bodegas y cocina debajo de las Gradas PP eses, TSB A y Sports Lounge Azul",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Sembrado de mobiliario (Aforo de acuerdo al brief de cada hospitalidad) Propuesta de iluminación, materiales y showroom físico",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Aplicación Master Graphic. Propuesta para muros/divisiones y pisos. Entrega física,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Solicitud de carpas, octanorm y pisos a proveedores",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Solicitud de infraestructura (gas, agua, suministro eléctrico)",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Autorización y solicitud de recubrimientos a proveedores,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
"Entrega de renders y layouts Agencias, Live Events y MKP",Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Autorización y solicitud de mobiliario a proveedores,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Autorización de presupuesto de hospitalidades,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Cierre de autorización de hospitalidades,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Entrega de gráficos para intervención de hospitalidades,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Autorización de logos,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Entrega de altas de logos,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Entrega de altas a proveedor para pruebas de color,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Autorización de pruebas de color,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Autorización de placas para clientes,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Autorización de personalización suite,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Nussli grada SLS Estructuras,Dirección Operaciones F1,Dura 12 días,05/04/2023,4/16/23,10/27/24,571,
Proveedores de renders Renders,Coordinación Experiencia al Cliente,Dura 31 días,09/04/2023,5/9/23,10/27/24,567,
IFOOD Comida,Coordinación de Compras F1,Dura 13 días,10/04/2023,4/22/23,10/27/24,566,
Proyecto de banderines sustentables  Textiles,Coordinación de Compras F1,Dura 13 días,10/04/2023,4/22/23,10/27/24,566,
Ideartte Impresos/Carpas,Coordinación de Compras F1,Dura 13 días,10/04/2023,4/22/23,10/27/24,566,
