Actividad,Responsables,Duración,Inicio,Fin,Evento,Días al evento,Stopper
         Carreras de Soporte ,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/2024,27/10/2024,2,Carreras de Soporte
         Protocolo carreras de soporte,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,25/10/2024,25/10/2024,27/10/2024,2,Protocolo carreras de soporte
         Colaboraciones,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Mercadotecnia F1,Gerencia de Redes Sociales F1",Dura 303 días,30/08/2023,25/10/2024,27/10/2024,2,Colaboraciones
         Conciliación de pago,"Gerencia Comercial F1,Gerencia Sr. Comercial F1,Delivery F1",Dura 246 días,16/11/2023,24/10/2024,27/10/2024,3,Conciliación de pago
         Capacitación,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 42 días,27/08/2024,23/10/2024,27/10/2024,4,
            Capacitación específica para voluntarios y logística de PIT LANE WALK,Coordinación Media Centre F1,Dura 22 días,24/09/2024,23/10/2024,27/10/2024,4,Capacitación específica para voluntarios y logística de PIT LANE WALK
"      5.1 Mantenimiento a infraestructura (Paddock, Pit lane)",Dirección de Operaciones F1,Dura 35 días,05/09/2024,23/10/2024,27/10/2024,4,
"         Mantenimiento a infraestructura Pit Lane Paddock, Pista",Dirección de Operaciones F1,Dura 35 días,05/09/2024,23/10/2024,27/10/2024,4,"Mantenimiento a infraestructura Pit Lane Paddock, Pista"
      Propuesta conceptual,Analista de Proyectos Entretenimiento F1,Dura 192 días,29/01/2024,22/10/2024,27/10/2024,5,
         Entrega de Activaciones,Analista de Proyectos Entretenimiento F1,Dura 15 días,02/10/2024,22/10/2024,27/10/2024,5,Entrega de Activaciones
      Abastecimiento antes del evento,Analista Experiencia al Cliente,Dura 13 días,04/10/2024,22/10/2024,27/10/2024,5,Abastecimiento antes del evento
            Casting-ceremonia,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/2024,27/10/2024,6,Casting-ceremonia
            Acreditación de coordinadores de producto y voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/2024,27/10/2024,6,Acreditación de coordinadores de producto y voluntarios
            Recorrido dirección,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/2024,27/10/2024,6,Recorrido dirección
            Entrega de Kit de Voluntarios / PLW,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/2024,27/10/2024,6,Entrega de Kit de Voluntarios / PLW
            Capacitación: Cuentas Culinaria,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/2024,27/10/2024,6,Capacitación: Cuentas Culinaria
            Capacitación: Bluter,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/2024,27/10/2024,6,Capacitación: Bluter
            Capacitación: Integración y Trabajo en equipo ATCL y hospitalidades,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,24/09/2024,21/10/2024,27/10/2024,6,Capacitación: Integración y Trabajo en equipo ATCL y hospitalidades
         PIT LANE WALK,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 22 días,19/09/2024,18/10/2024,27/10/2024,9,PIT LANE WALK
      4.6 Experiencia al Cliente Corporativo,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 405 días?,03/04/2023,18/10/2024,27/10/2024,9,
         4.11 Experiencia Culinaria,"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 22 días,19/09/2024,18/10/2024,27/10/2024,9,
            Ubicación (logistica cocinas),"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 1 día,18/10/2024,18/10/2024,27/10/2024,9,Ubicación (logistica cocinas)
            Tertulias,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 18 días,24/09/2024,17/10/2024,27/10/2024,10,Tertulias
            Validación por Cliente,"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 20 días,20/09/2024,17/10/2024,27/10/2024,10,Validación por Cliente
      5.2 Trámites gubernamentales,Dirección de Operaciones F1,Dura 30 días,05/09/2024,16/10/2024,27/10/2024,11,
         Trámite migración,Dirección de Operaciones F1,Dura 10 días,03/10/2024,16/10/2024,27/10/2024,11,Trámite migración
      5.4 Atención de Requerimientos de homologación de pista,Dirección de Operaciones F1,Dura 30 días,05/09/2024,16/10/2024,27/10/2024,11,
         Informe OMDAI/FIA,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 día,16/10/2024,16/10/2024,27/10/2024,11,Informe OMDAI/FIA
         Atención de observaciones,Gerente Producción F1,Dura 1 día,15/10/2024,15/10/2024,27/10/2024,12,Atención de observaciones
         Búsqueda de proveedores,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 345 días,21/06/2023,15/10/2024,27/10/2024,12,Búsqueda de proveedores
            Capacitación: Producción,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Producción
            Capacitación: Introducción y la F1ESTA,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Introducción y la F1ESTA
            Capacitación: Ceremonia de apertura,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Ceremonia de apertura
            Capacitación: Sostenibilidad,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Sostenibilidad
            Capacitación: Incidencias,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Incidencias
"            Capacitación: Núcleos por zona, hospitalidades y marcas por núcleo","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,"Capacitación: Núcleos por zona, hospitalidades y marcas por núcleo"
"            Capacitación: Indicadores de efectividad de operación previa al evento, Capacitación: Seguridad integral e inclusión","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,"Capacitación: Indicadores de efectividad de operación previa al evento, Capacitación: Seguridad integral e inclusión"
            Capacitación: FAQs generales y reforzamiento de la información,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: FAQs generales y reforzamiento de la información
            Capacitación: Evaluación por hospitalidad,Coordinación Experiencia al Cliente,Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Evaluación por hospitalidad
            Capacitación: Logística del evento y generalidades de las hospitalidades,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Logística del evento y generalidades de las hospitalidades
            Capacitación: Cuentas Corporativas,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Cuentas Corporativas
            Capacitación: Experiencias Premium,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,24/09/2024,14/10/2024,27/10/2024,13,Capacitación: Experiencias Premium
         Implementación,Gerente Producción F1,Dura 5 días,08/10/2024,14/10/2024,27/10/2024,13,Implementación
            Capacitación: Logística de funcionalidad y operación de las hospitalidades durante el evento,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 14 días,24/09/2024,11/10/2024,27/10/2024,16,Capacitación: Logística de funcionalidad y operación de las hospitalidades durante el evento
         Preparación de recorridos,Coordinación Media Centre F1,Dura 25 días,06/09/2024,10/10/2024,27/10/2024,17,Preparación de recorridos
         Recorrido de pista,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 0 días,07/10/2024,07/10/2024,27/10/2024,20,
"            Fecha límite de confirmación voluntarios. (Foto, talla, confirmación de fechas, etc.)","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 10 días,24/09/2024,07/10/2024,27/10/2024,20,"Fecha límite de confirmación voluntarios. (Foto, talla, confirmación de fechas, etc.)"
         Recorrido de pista,Dirección de Operaciones F1,Dura 1 día,07/10/2024,07/10/2024,27/10/2024,20,Recorrido de pista
      10.7 Acreditación de Medios,Coordinador de Sostenibilidad F1,Dura 110 días,07/05/2024,07/10/2024,27/10/2024,20,
"         Acreditación medios, revisión y envío de acreditaciones",Coordinador de Sostenibilidad F1,Dura 40 días,13/08/2024,07/10/2024,27/10/2024,20,"Acreditación medios, revisión y envío de acreditaciones"
         Producción Minuto a Minuto,Coordinación Media Centre F1,Dura 20 días,06/09/2024,03/10/2024,27/10/2024,24,Producción Minuto a Minuto
         Media Kit,Coordinación Media Centre F1,Dura 20 días,06/09/2024,03/10/2024,27/10/2024,24,Media Kit
      Análisis de insumos,Analista Experiencia al Cliente,Dura 20 días,06/09/2024,03/10/2024,27/10/2024,24,Análisis de insumos
         Registro de personal,Dirección de Operaciones F1,Dura 20 días,05/09/2024,02/10/2024,27/10/2024,25,Registro de personal
         Trámite aduanal envío de equipo,Dirección de Operaciones F1,Dura 10 días,19/09/2024,02/10/2024,27/10/2024,25,Trámite aduanal envío de equipo
"         Gestión Administrativa con gobierno local (acceso, representación, movilidad, tránsito)","Dirección de Operaciones F1,Gerente Producción F1",Dura 20 días,05/09/2024,02/10/2024,27/10/2024,25,"Gestión Administrativa con gobierno local (acceso, representación, movilidad, tránsito)"
         Primera entrega de Evidencias,Analista de Proyectos Entretenimiento F1,Dura 7 días,23/09/2024,01/10/2024,27/10/2024,26,Primera entrega de Evidencias
            Contar con agencia y estructura de capacitación de voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,27/08/2024,23/09/2024,27/10/2024,34,Contar con agencia y estructura de capacitación de voluntarios
         Estimación Inicio de producción,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 45 días,22/07/2024,20/09/2024,27/10/2024,37,Estimación Inicio de producción
         Extensión de horarios,Gerencia Hospitalidades y Experiencias Premium F1,Dura 20 días,26/08/2024,20/09/2024,27/10/2024,37,Extensión de horarios
            Propuesta Menú,"Analista de Experiencia Culinaria,Analista Experiencia al Cliente,Gerencia Experiencia Culinaria F1",Dura 1 día,19/09/2024,19/09/2024,27/10/2024,38,Propuesta Menú
         Propuesta conceptual,Coordinación Media Centre F1,Dura 10 días,06/09/2024,19/09/2024,27/10/2024,38,Propuesta conceptual
         Alta de cliente en software de ventas o control de venta,"Gerencia de Administración e Información Comercial,Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 220 días,16/11/2023,18/09/2024,27/10/2024,39,Alta de cliente en software de ventas o control de venta
         Contratos o cartas firmados por el cliente (Documentos del clientes para contrato),"Gerencia de Administración e Información Comercial,Gerencia Comercial F1,Gerencia Sr. Comercial F1,Delivery F1",Dura 220 días,16/11/2023,18/09/2024,27/10/2024,39,Contratos o cartas firmados por el cliente (Documentos del clientes para contrato)
         Asignación,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 2 días,17/09/2024,18/09/2024,27/10/2024,39,Asignación
         Trámite aduanal internación de maquinaria y equipo,Dirección de Operaciones F1,Dura 10 días,05/09/2024,18/09/2024,27/10/2024,39,Trámite aduanal internación de maquinaria y equipo
            Listo Manual de Voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 15 días,27/08/2024,16/09/2024,27/10/2024,41,Listo Manual de Voluntarios
      5.3 Montaje Pit Lane (Supervisión),"Dirección de Operaciones F1,Dirección General CIE Internacional y F1",Dura 1 día,05/09/2024,05/09/2024,27/10/2024,52,
         Producción On Track,Dirección de Operaciones F1,Dura 1 día,05/09/2024,05/09/2024,27/10/2024,52,
            Contrato Dosai Fibra Optica,Dirección de Operaciones F1,Dura 1 día,05/09/2024,05/09/2024,27/10/2024,52,Contrato Dosai Fibra Optica
         Requerimientos OMDAI y FIA,Dirección General CIE Internacional y F1,Dura 1 día,05/09/2024,05/09/2024,27/10/2024,52,Requerimientos OMDAI y FIA
         4.10 Atención a Prensa y Medios,Coordinación Media Centre F1,Dura 130 días,07/03/2024,04/09/2024,27/10/2024,53,
"            Facilidades (espacios Media Center, traslados)",Coordinación Media Centre F1,Dura 70 días,30/05/2024,04/09/2024,27/10/2024,53,"Facilidades (espacios Media Center, traslados)"
            Planeación de amenidades y actividades (Kermesse),Coordinación Media Centre F1,Dura 70 días,30/05/2024,04/09/2024,27/10/2024,53,Planeación de amenidades y actividades (Kermesse)
            Check List General por Hospitalidad,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,02/09/2024,02/09/2024,27/10/2024,55,Check List General por Hospitalidad
            Team back al cierre equipo de Hospitalidades,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,30/08/2024,30/08/2024,27/10/2024,58,Team back al cierre equipo de Hospitalidades
         Logística de impresión (por Ticketmaster),Coordinación de Boletaje F1,Dura 1 día,29/08/2024,29/08/2024,27/10/2024,59,Logística de impresión (por Ticketmaster)
            Tertulias,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 2 días,28/08/2024,29/08/2024,27/10/2024,59,Tertulias
         Gestión de Autorización,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1,Dura 5 días,22/08/2024,28/08/2024,27/10/2024,60,Gestión de Autorización
            Capacitación: Logística de funcionalidad y operación de las hospitalidades previo al evento,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,27/08/2024,27/08/2024,27/10/2024,61,Capacitación: Logística de funcionalidad y operación de las hospitalidades previo al evento
         Selección,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,30/07/2024,26/08/2024,27/10/2024,62,Selección
         Activaciones,Gerencia de Relaciones Públicas F1,Dura 1 día,23/08/2024,23/08/2024,27/10/2024,65,Activaciones
      9.2 Operación de Helipuertos,Gerencia de Seguridad Corporativa,Dura 70 días,20/05/2024,23/08/2024,27/10/2024,65,
         Coordinación traslados Médicos,Gerencia de Seguridad Corporativa,Dura 10 días,12/08/2024,23/08/2024,27/10/2024,65,Coordinación traslados Médicos
      4.4 Activaciones Marca,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 149 días,29/01/2024,22/08/2024,27/10/2024,66,
         Propuesta conceptual,Analista de Proyectos Entretenimiento F1,Dura 149 días,29/01/2024,22/08/2024,27/10/2024,66,
            Entrega de boletos SUITE,Analista de Proyectos Entretenimiento F1,Dura 1 día,22/08/2024,22/08/2024,27/10/2024,66,Entrega de boletos SUITE
         Solicitud para la generación de boletos,Coordinación de Boletaje F1,Dura 200 días,16/11/2023,21/08/2024,27/10/2024,67,Solicitud para la generación de boletos
      3.5 Branding,Creativo F1,Dura 363 días,03/04/2023,21/08/2024,27/10/2024,67,
         Uso de Look&Feel en espacios y objetos,Gerente de Experiencia al Cliente Corporativos F1,Dura 200 días,16/11/2023,21/08/2024,27/10/2024,67,Uso de Look&Feel en espacios y objetos
         Programación,Analista de Proyectos Entretenimiento F1,Dura 10 días,01/08/2024,14/08/2024,27/10/2024,74,Programación
         Convocatoria Abierta para medios de comunicación,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 70 días,07/05/2024,12/08/2024,27/10/2024,76,Convocatoria Abierta para medios de comunicación
         Vuelos comerciales,Gerencia de Seguridad Corporativa,Dura 20 días,15/07/2024,09/08/2024,27/10/2024,79,Vuelos comerciales
         Validación por el cliente,Analista de Proyectos Entretenimiento F1,Dura 5 días,25/07/2024,31/07/2024,27/10/2024,88,Validación por el cliente
         Aprobación y rechazo de videos,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,29/07/2024,29/07/2024,27/10/2024,90,Aprobación y rechazo de videos
         Entrevistas virtuales,Coordinación Experiencia al Cliente,Dura 30 días,17/06/2024,26/07/2024,27/10/2024,93,Entrevistas virtuales
            Fecha límite para aprobar manual de pre carga,Analista de Proyectos Entretenimiento F1,Dura 20 días,27/06/2024,24/07/2024,27/10/2024,95,Fecha límite para aprobar manual de pre carga
            Fecha límite para aprobar artes de la pre carga,Analista de Proyectos Entretenimiento F1,Dura 20 días,27/06/2024,24/07/2024,27/10/2024,95,Fecha límite para aprobar artes de la pre carga
            Cierre de autorización de hospitalidades,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,22/07/2024,22/07/2024,27/10/2024,97,Cierre de autorización de hospitalidades
         Orden de compra entretenimiento,Analista de Proyectos Entretenimiento F1,Dura 5 días,15/07/2024,19/07/2024,27/10/2024,100,Orden de compra entretenimiento
            Autorización de presupuesto de hospitalidades,"Dirección de Operaciones F1,Gerente Producción F1",Dura 10 días,08/07/2024,19/07/2024,27/10/2024,100,Autorización de presupuesto de hospitalidades
         Directorio de proveedores,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 123 días,29/01/2024,17/07/2024,27/10/2024,102,
            Cotizacion de sobres para boletos RP impresos,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 123 días,29/01/2024,17/07/2024,27/10/2024,102,Cotizacion de sobres para boletos RP impresos
