Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Permisos de construcción,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 20 días,15/12/2021,11/01/22,27/10/24,1020,Permisos de construcción
Planos,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 20 días,12/01/2022,8/02/22,27/10/24,992,Planos
Materiales y construcción,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 15 días,09/02/2022,1/03/22,27/10/24,971,Materiales y construcción
Tiempo de construcción,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 250 días,12/01/2022,27/12/22,27/10/24,670,Tiempo de construcción
Aprobación,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,28/12/2022,10/01/23,27/10/24,656,Aprobación
Trazo de Pista,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 310 días,17/11/2021,24/01/23,27/10/24,642,
Avance de la obra,"Equipo de Proyecto,Contraloría F1",Dura 20 días,28/12/2022,24/01/23,27/10/24,642,Avance de la obra
Dictamen D.R.O,"Equipo de Proyecto,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,11/01/2023,24/01/23,27/10/24,642,Dictamen D.R.O
Evaluación y Validación OMDAI,Dirección de Operaciones F1,Dura 15 días,25/01/2023,14/02/23,27/10/24,621,Evaluación y Validación OMDAI
Evaluación FIA,Dirección de Operaciones F1,Dura 10 días,15/02/2023,28/02/23,27/10/24,607,Evaluación FIA
Certificación de Pista bajo estándar FIA,Dirección de Operaciones F1,Dura 15 días,01/03/2023,21/03/23,27/10/24,586,Certificación de Pista bajo estándar FIA
Trazo de Pista,"Equipo de Proyecto,Dirección General CIE Internacional y F1",Dura 410 días,01/09/2021,28/03/23,27/10/24,579,
Pago de derechos,Dirección de Operaciones F1,Dura 5 días,22/03/2023,28/03/23,27/10/24,579,Pago de derechos
Pista Certificada Bajo Estándar FIA,Dirección de Operaciones F1,Dura 0 días,28/03/2023,28/03/23,27/10/24,579,Pista Certificada Bajo Estándar FIA
Diseño de la Imagen y Presentación,Creativo F1,Dura 1 días,29/03/2023,29/03/23,27/10/24,578,
Propuestas Creativas,"Creativo F1,Dirección de Mercadotecnia F1",Dura 1 días,29/03/2023,29/03/23,27/10/24,578,Propuestas Creativas
Aprobación de Imagen Master,"Creativo F1,Dirección de Mercadotecnia F1",Dura 1 días,30/03/2023,30/03/23,27/10/24,577,Aprobación de Imagen Master
Imagen Master,"Creativo F1,Dirección de Mercadotecnia F1",Dura 2 días,30/03/2023,31/03/23,27/10/24,576,
Presentación de Productos Corporativos,"Dirección Comercial F1,Creativo F1,Gerencia de Mercadotecnia F1",Dura 1 días,31/03/2023,31/03/23,27/10/24,576,Presentación de Productos Corporativos
Entrega de materiales para campaña,Gerente Producción F1,Dura 1 días,03/04/2023,3/04/23,27/10/24,573,Entrega de materiales para campaña
Experiencia al Cliente Corporativo,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 días,03/04/2023,3/04/23,27/10/24,573,Experiencia al Cliente Corporativo
Presentación LANDYARD CASHLESS,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 días,03/04/2023,3/04/23,27/10/24,573,Presentación LANDYARD CASHLESS
Presentación LANDYARD GRADA 3,"Coordinación Experiencia al Cliente,Gerente de Experiencia al Cliente Corporativos F1,Dirección Comercial F1,Gerencia Comercial F1,Gerencia Sr. Comercial F1,Contraloría F1",Dura 1 días,03/04/2023,3/04/23,27/10/24,573,Presentación LANDYARD GRADA 3
Visualización y propuesta de punto de entrega de kits.,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 1 días,04/04/2023,4/04/23,27/10/24,572,Visualización y propuesta de punto de entrega de kits.
Presentación para Venta,"Creativo F1,Dirección de Mercadotecnia F1",Dura 5 días,03/04/2023,7/04/23,27/10/24,569,Presentación para Venta
Ajustes generales LANDYARD CASHLESS,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,04/04/2023,10/04/23,27/10/24,566,Ajustes generales LANDYARD CASHLESS
Ajustes generales LANDYARD GRADA 3,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,04/04/2023,10/04/23,27/10/24,566,Ajustes generales LANDYARD GRADA 3
Propuesta Conceptual,"Gerencia de Mercadotecnia F1,Dirección Comercial F1,Gerencia Sr. Comercial F1,Creativo F1",Dura 10 días,03/04/2023,14/04/23,27/10/24,562,Propuesta Conceptual
Amenities,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1,Creativo F1,Gerente Producción F1,Coordinación Experiencia al Cliente Corporativo F1",Dura 11 días,03/04/2023,17/04/23,27/10/24,559,
Aprobación de propuesta LANDYARD CASHLESS,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,11/04/2023,17/04/23,27/10/24,559,Aprobación de propuesta LANDYARD CASHLESS
Aprobación de propuesta LANDYARD GRADA 3,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 5 días,11/04/2023,17/04/23,27/10/24,559,Aprobación de propuesta LANDYARD GRADA 3
Proyecto Ejecutivo,Dirección de Operaciones F1,Dura 15 días,29/03/2023,18/04/23,27/10/24,558,Proyecto Ejecutivo
Análisis del Proyecto Ejecutivo,Dirección de Operaciones F1,Dura 10 días,19/04/2023,2/05/23,27/10/24,544,Análisis del Proyecto Ejecutivo
Segmentación y Valoración del Espacio Dentro y Fuera de la Pista,Dirección de Operaciones F1,Dura 30 días,29/03/2023,9/05/23,27/10/24,537,
Aprobación de Proyecto Ejecutivo,Dirección de Operaciones F1,Dura 5 días,03/05/2023,9/05/23,27/10/24,537,Aprobación de Proyecto Ejecutivo
Determinación de inventarios de espacios,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 10 días,03/05/2023,16/05/23,27/10/24,530,Determinación de inventarios de espacios
Costeo de metro cuadrado de servicios,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 5 días,17/05/2023,23/05/23,27/10/24,523,Costeo de metro cuadrado de servicios
Estimación metro cuadrado por persona-servicios,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 5 días,17/05/2023,23/05/23,27/10/24,523,Estimación metro cuadrado por persona-servicios
Determinación del Inventario de Espacios por Zona con precios (Factibilidad),"Gerente de Planeación Financiera F1,Dirección General CIE Internacional y F1",Dura 16 días,03/05/2023,24/05/23,27/10/24,522,
Estimación de ingresos,"Gerente de Planeación Financiera F1,Dirección de Operaciones F1",Dura 1 días,24/05/2023,24/05/23,27/10/24,522,Estimación de ingresos
Presentación LANDYARD SUITES,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 40 días,03/04/2023,26/05/23,27/10/24,520,Presentación LANDYARD SUITES
Valuación de espacios On Track,Gerente de Planeación Financiera F1,Dura 5 días,25/05/2023,31/05/23,27/10/24,515,Valuación de espacios On Track
Ajustes generales LANDYARD SUITES,Coordinación Experiencia al Cliente,Dura 5 días,29/05/2023,2/06/23,27/10/24,513,Ajustes generales LANDYARD SUITES
Valuación de espacios Off Track,Gerente de Planeación Financiera F1,Dura 5 días,01/06/2023,7/06/23,27/10/24,508,Valuación de espacios Off Track
Branding,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 50 días,03/04/2023,9/06/23,27/10/24,506,
"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios",Coordinación Experiencia al Cliente,Dura 5 días,05/06/2023,9/06/23,27/10/24,506,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Experiencia culinaria,Gerencia de Relaciones Públicas F1,Dura 5 días,05/06/2023,9/06/23,27/10/24,506,Experiencia culinaria
"Propuesta de render del back, copete y faldón del módulo de pre carga",Coordinación Experiencia al Cliente,Dura 5 días,05/06/2023,9/06/23,27/10/24,506,"Propuesta de render del back, copete y faldón del módulo de pre carga"
Estimación de egresos,Gerente de Planeación Financiera F1,Dura 4 días,08/06/2023,13/06/23,27/10/24,502,Estimación de egresos
Estimación de rentabilidad,Gerente de Planeación Financiera F1,Dura 4 días,08/06/2023,13/06/23,27/10/24,502,Estimación de rentabilidad
Tabla de Precios,"Dirección General CIE Internacional y F1,Gerente de Planeación Financiera F1",Dura 5 días,14/06/2023,20/06/23,27/10/24,495,Tabla de Precios
Análisis,Coordinación de Compras F1,Dura 1 días,21/06/2023,21/06/23,27/10/24,494,
Ajustes de asientos contables,Contraloría F1,Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Ajustes de asientos contables
Criterios para Desarrollo de Proveedores,Coordinación de Compras F1,Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Criterios para Desarrollo de Proveedores
Definición de fecha salida a Venta,"Dirección Comercial F1,Gerencia Sr. Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Dirección General CIE Internacional y F1,Gerente de Experiencia al Cliente Corporativos F1",Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Definición de fecha salida a Venta
Definición del inventario para boletera,"Dirección General CIE Internacional y F1,Coordinación de Boletaje F1",Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Definición del inventario para boletera
Fuentes de egresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Fuentes de egresos
Fuentes de ingresos (productos),"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Fuentes de ingresos (productos)
Proyección de compra,Coordinación de Compras F1,Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Proyección de compra
Reglas de negocio,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Reglas de negocio
Requisitos,Coordinación de Compras F1,Dura 1 días,21/06/2023,21/06/23,27/10/24,494,Requisitos
Negociación,Coordinación de Compras F1,Dura 1 días,22/06/2023,22/06/23,27/10/24,493,
Negociación,Coordinación de Compras F1,Dura 1 días,22/06/2023,22/06/23,27/10/24,493,Negociación
Volumen de compra ( Definición),Coordinación de Compras F1,Dura 1 días,22/06/2023,22/06/23,27/10/24,493,Volumen de compra ( Definición)
Determinación de canales de venta,Gerente de Planeación Financiera F1,Dura 5 días,21/06/2023,27/06/23,27/10/24,488,Determinación de canales de venta
Experiencia al Cliente PADDOCK,Gerencia Hospitalidades y Experiencias Premium F1,Dura 1 días,28/06/2023,28/06/23,27/10/24,487,
Distribución de Inventario por canal de venta,Coordinación de Boletaje F1,Dura 1 días,28/06/2023,28/06/23,27/10/24,487,Distribución de Inventario por canal de venta
"Levantamiento de necesidades. (Roles, cantidad, etc.)",Líder Proyectos y Plataformas,Dura 1 días,28/06/2023,28/06/23,27/10/24,487,"Levantamiento de necesidades. (Roles, cantidad, etc.)"
Planeación,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dirección de Operaciones F1,Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 1 días,28/06/2023,28/06/23,27/10/24,487,Planeación
Planeación de Egresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 10 días,22/06/2023,5/07/23,27/10/24,480,Planeación de Egresos
Planeación de ingresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 10 días,22/06/2023,5/07/23,27/10/24,480,Planeación de ingresos
Determinación de Tabla de Precios,Gerente de Planeación Financiera F1,Dura 34 días,25/05/2023,11/07/23,27/10/24,474,
Aforo,"Dirección General CIE Internacional y F1,Gerente de Planeación Financiera F1",Dura 75 días,29/03/2023,11/07/23,27/10/24,474,
"Master plan (borrador, versiones y as built)",Gerente Producción F1,Dura 10 días,28/06/2023,11/07/23,27/10/24,474,"Master plan (borrador, versiones y as built)"
Escenarios financieros,Gerente de Planeación Financiera F1,Dura 5 días,06/07/2023,12/07/23,27/10/24,473,Escenarios financieros
Escenarios financieros,Gerente de Planeación Financiera F1,Dura 5 días,06/07/2023,12/07/23,27/10/24,473,Escenarios financieros
Presupuesto de Egresos,"Gerente de Planeación Financiera F1,Dirección General de Gerencia de Planeación Financiera F1",Dura 26 días,21/06/2023,26/07/23,27/10/24,459,
Presupuesto de Egresos,Gerente de Planeación Financiera F1,Dura 10 días,13/07/2023,26/07/23,27/10/24,459,Presupuesto de Egresos
Presupuesto de ingresos,Gerente de Planeación Financiera F1,Dura 10 días,13/07/2023,26/07/23,27/10/24,459,Presupuesto de ingresos
Presupuesto de Ingresos,Gerente de Planeación Financiera F1,Dura 10 días,13/07/2023,26/07/23,27/10/24,459,Presupuesto de Ingresos
Solicitudes,Líder Proyectos y Plataformas,Dura 30 días,29/06/2023,9/08/23,27/10/24,445,Solicitudes
Definición de Pautado Redes Sociales,Gerencia de Redes Sociales F1,Dura 40 días,21/06/2023,15/08/23,27/10/24,439,Definición de Pautado Redes Sociales
Definición de Proyectos de PR,Gerencia de Relaciones Públicas F1,Dura 40 días,21/06/2023,15/08/23,27/10/24,439,Definición de Proyectos de PR
Vocero para entrevistas,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1",Dura 10 días,16/08/2023,29/08/23,27/10/24,425,Vocero para entrevistas
Elaboración de contenidos,"Creativo F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1",Dura 40 días,16/08/2023,10/10/23,27/10/24,383,Elaboración de contenidos
Planificación de necesidades,Líder Proyectos y Plataformas,Dura 60 días,10/08/2023,1/11/23,27/10/24,361,Planificación de necesidades
Fecha de Salida a la Venta,"Dirección Comercial F1,Gerencia Sr. Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Dirección General CIE Internacional y F1",Dura 105 días,22/06/2023,15/11/23,27/10/24,347,Fecha de Salida a la Venta
Seguimiento de contrato,"Gerencia Comercial F1,Gerencia Sr. Comercial F1",Dura 1 días,16/11/2023,16/11/23,27/10/24,346,Seguimiento de contrato
Fechas de salida a la venta (solicitudes listas),Coordinación de Boletaje F1,Dura 20 días,16/11/2023,13/12/23,27/10/24,319,Fechas de salida a la venta (solicitudes listas)
Activaciones Entretenimiento,Analista de Proyectos Entretenimiento F1,Dura 0 días,29/01/2024,29/01/24,27/10/24,272,
Amevi Ambulancias,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Amevi Ambulancias
Arcos acceso general Display,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Arcos acceso general Display
"Bajas de agua pit building, Construccion","Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,"Bajas de agua pit building, Construccion"
Banderines de Promotoria Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Banderines de Promotoria Textiles
Brief audio y video de Promotoria Audio y video,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Brief audio y video de Promotoria Audio y video
Cajas para marketing Cajas,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Cajas para marketing Cajas
Carros de Golf / Motos Carros de Golf,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Carros de Golf / Motos Carros de Golf
Contratación Situacion Maria tinto Vino,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Contratación Situacion Maria tinto Vino
Cotizar mecanica de suelo Construccion,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Cotizar mecanica de suelo Construccion
"Display GNP, PHOTO OPP, Display","Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,"Display GNP, PHOTO OPP, Display"
Ednovi Pirotecnia,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Ednovi Pirotecnia
Entrega final versión completa + versión corta,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Entrega final versión completa + versión corta
Entrega final versión completa + versión resumen,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Entrega final versión completa + versión resumen
Escaleras de servicio Construccion,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Escaleras de servicio Construccion
Estructuras MK impresos,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Estructuras MK impresos
Ideartte Impresos/Carpas,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Ideartte Impresos/Carpas
IFOOD Comida,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,IFOOD Comida
Modulos de informacion Display,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Modulos de informacion Display
Modulos de informacion Display,Coordinación de Compras F1,Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Modulos de informacion Display
Muestra de playera para Marketing Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Muestra de playera para Marketing Textiles
Muestra de sueter para Marketing Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Muestra de sueter para Marketing Textiles
Muestras de Lanyard Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Muestras de Lanyard Textiles
Muestras nuevas de gorras Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Muestras nuevas de gorras Textiles
Planeación,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Analista de Proyectos Entretenimiento F1,Analista Experiencia al Cliente,Gerente de Experiencia al Cliente Corporativos F1",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Planeación
Planeación,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 0 días,29/01/2024,29/01/24,27/10/24,272,
Planeación,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Planeación
Proyecto de banderines sustentables Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Proyecto de banderines sustentables Textiles
Puente temporal Total show Construccion,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Puente temporal Total show Construccion
Respuesta revisión de bases,Coordinación de Compras F1,Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Respuesta revisión de bases
Revisión de bases finales monitoreo,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Revisión de bases finales monitoreo
Show room impresos Impresos,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Show room impresos Impresos
Testigos de monitoreo finales,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Testigos de monitoreo finales
Video voluntarios Audio y video,Coordinación de Compras F1,Dura 1 días,29/01/2024,29/01/24,27/10/24,272,Video voluntarios Audio y video
Presentación Agencias,Analista de Proyectos Entretenimiento F1,Dura 21 días,29/01/2024,26/02/24,27/10/24,244,Presentación Agencias
Fecha límite para aprobar diseño de playeras,Analista de Proyectos Entretenimiento F1,Dura 23 días,29/01/2024,28/02/24,27/10/24,242,Fecha límite para aprobar diseño de playeras
Implementación de mejoras,Líder Proyectos y Plataformas,Dura 90 días,02/11/2023,6/03/24,27/10/24,235,Implementación de mejoras
Plataforma,Líder Proyectos y Plataformas,Dura 182 días,28/06/2023,7/03/24,27/10/24,234,
Inicio de programación y pruebas plataforma,Líder Proyectos y Plataformas,Dura 1 días,07/03/2024,7/03/24,27/10/24,234,Inicio de programación y pruebas plataforma
Propuesta conceptual,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 30 días,30/01/2024,11/03/24,27/10/24,230,Propuesta conceptual
Ajustes IV,Analista de Proyectos Entretenimiento F1,Dura 13 días,27/02/2024,14/03/24,27/10/24,227,Ajustes IV
Propuesta de entretenimiento (Lista),Analista de Proyectos Entretenimiento F1,Dura 1 días,15/03/2024,15/03/24,27/10/24,226,Propuesta de entretenimiento (Lista)
Negociación con Compras,Analista de Proyectos Entretenimiento F1,Dura 5 días,18/03/2024,22/03/24,27/10/24,219,Negociación con Compras
Versión final Agencias,Analista de Proyectos Entretenimiento F1,Dura 1 días,25/03/2024,25/03/24,27/10/24,216,Versión final Agencias
Muestras de bolsas ecologicas Promocionales,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 200 días,21/06/2023,26/03/24,27/10/24,215,Muestras de bolsas ecologicas Promocionales
Presentación entretenimiento,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 4 días,26/03/2024,29/03/24,27/10/24,212,Presentación entretenimiento
Validación por el cliente,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 15 días,12/03/2024,1/04/24,27/10/24,209,Validación por el cliente
Presentación aprobación Subdirección,Analista de Proyectos Entretenimiento F1,Dura 7 días,01/04/2024,9/04/24,27/10/24,201,Presentación aprobación Subdirección
Planeación de campañas de difusión y promoción,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 días,15/04/2024,15/04/24,27/10/24,195,
Planeación de objetivos de campaña y Briefs,Gerencia Mercadotecnia Digital F1,Dura 1 días,15/04/2024,15/04/24,27/10/24,195,
Reunión Kick Off,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 días,16/04/2024,16/04/24,27/10/24,194,Reunión Kick Off
Validación Dirección General,Analista de Proyectos Entretenimiento F1,Dura 7 días,10/04/2024,18/04/24,27/10/24,192,Validación Dirección General
Programación,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 15 días,02/04/2024,22/04/24,27/10/24,188,Programación
Activaciones,Gerencia de Administración e Información Comercial,Dura 71 días,29/01/2024,6/05/24,27/10/24,174,
Ubicación,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 10 días,23/04/2024,6/05/24,27/10/24,174,Ubicación
Entrega de Master Graphic,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,07/05/2024,7/05/24,27/10/24,173,Entrega de Master Graphic
Entrega de reporte fotográfico para revisión completa,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,07/05/2024,7/05/24,27/10/24,173,Entrega de reporte fotográfico para revisión completa
Give away hospitalidades,Gerencia Hospitalidades y Experiencias Premium F1,Dura 1 días,07/05/2024,7/05/24,27/10/24,173,Give away hospitalidades
Página Web México GP Lista,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,07/05/2024,7/05/24,27/10/24,173,Página Web México GP Lista
Revisión de bases finales monitoreo,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 1 días,07/05/2024,7/05/24,27/10/24,173,Revisión de bases finales monitoreo
